Enseigne;Adresse;Nombre Points de charge;Puissance délivrée;Type de prise;Condition d'accès;Accessibilité;Coordonnees;Commune;Nom du département;Nom de la région;Commentaires;Nom de la borne
Alizé Liberté;Rue Sylvine Candas 92120 MONTROUGE;8;22.0;COMBO;payant;24/24 7/7 jours;48.817506,2.317718;Montrouge;HAUTS-DE-SEINE;ILE-DE-FRANCE;;B2695
Alizé Liberté;Rue Sylvine Candas 92120 MONTROUGE;8;22.0;COMBO;payant;24/24 7/7 jours;48.817506,2.317718;Montrouge;HAUTS-DE-SEINE;ILE-DE-FRANCE;;B2696
Alizé Liberté;Rue Moličre 92120 MONTROUGE;8;22.0;COMBO;payant;24/24 7/7 jours;48.810812,2.315737;Montrouge;HAUTS-DE-SEINE;ILE-DE-FRANCE;;B2697
Alizé Liberté;Rue du Feu 67700 SAVERNE;2;22.0;COMBO;payant;24/24 7/7 jours;48.743105,7.358142;Saverne;BAS-RHIN;GRAND EST;;B2698
La borne �lectrique;Place de la Mairie - 29267 Saint-Thois;2;22.0;COMBO;payant;24/24 7/7 jours;48.164877,-3.885589;Saint-Thois;FINISTERE;BRETAGNE;;B2699
La borne �lectrique;Aire de covoiturage Kerivoal - 29105 Landivisiau;1;22.0;COMBO;payant;24/24 7/7 jours;48.51559,-4.052963;Landivisiau;FINISTERE;BRETAGNE;;B2700
La borne �lectrique;Place de la Libert� - 29204 Ploun�venter;2;22.0;COMBO;payant;24/24 7/7 jours;48.513638,-4.211728;Plounéventer;FINISTERE;BRETAGNE;;B2701
La borne �lectrique;Avenue du Port - 29284 Treffiagat;2;22.0;COMBO;payant;24/24 7/7 jours;47.794541,-4.276988;Treffiagat;FINISTERE;BRETAGNE;;B2702
La borne �lectrique;Place de la Mairie - 29038 Commana;2;22.0;COMBO;payant;24/24 7/7 jours;48.413948,-3.956018;Commana;FINISTERE;BRETAGNE;;B2703
La borne �lectrique;Mairie - 29044 Din�ault;2;22.0;COMBO;payant;24/24 7/7 jours;48.219225,-4.165494;Dinéault;FINISTERE;BRETAGNE;;B2704
La borne �lectrique;Kervidanou - 29147 Mellac;2;50.0;COMBO;payant;24/24 7/7 jours;47.868964,-3.585061;Mellac;FINISTERE;BRETAGNE;;B2705
La borne �lectrique;Parking de C�lestin Seite - 29239 Roscoff;2;22.0;COMBO;payant;24/24 7/7 jours;48.724146,-3.985446;Roscoff;FINISTERE;BRETAGNE;;B2706
La borne �lectrique;Rue du verger - 29055 Le Folgo�t;2;22.0;COMBO;payant;24/24 7/7 jours;48.56207,-4.335423;Le Folgoët;FINISTERE;BRETAGNE;;B2707
La borne �lectrique;Place de la Mairie - 29254 Saint-Martin-des-Champs;2;22.0;COMBO;payant;24/24 7/7 jours;48.575382,-3.843491;Saint-Martin-des-Champs;SEINE-ET-MARNE;ILE-DE-FRANCE;;B2708
La borne �lectrique;Rue des conserveries - 29158 Penmarc'h;2;22.0;COMBO;payant;24/24 7/7 jours;47.817366,-4.375518;Penmarch;FINISTERE;BRETAGNE;;B2709
La borne �lectrique;Rue du G�n�ral de Gaulle - 29197 Plouhinec;2;22.0;COMBO;payant;24/24 7/7 jours;48.01428,-4.486453;Plouhinec;MORBIHAN;BRETAGNE;;B2710
La borne �lectrique;Place de l'Ev�ch� - 29259 Saint-Pol-de-L�on;2;22.0;COMBO;payant;24/24 7/7 jours;48.686318,-3.98637;Saint-Pol-de-Léon;FINISTERE;BRETAGNE;;B2711
La borne �lectrique;Place Kilmacow - 29269 Saint Thurien;2;22.0;COMBO;payant;24/24 7/7 jours;47.958649,-3.623005;Saint-Thurien;FINISTERE;BRETAGNE;;B2712
Watt else?;Parking Merlasse - Rue Sainte-Marie - 65100 Lourdes;2;18.0;COMBO;gratuit;24/24 7/7 jours;43.09586,-0.05541;Lourdes;HAUTES-PYRENEES;OCCITANIE;;B2713
Watt else?;Parking de la Gare – 65260 PIERREFITTE NESTALAS;2;18.0;COMBO;gratuit;24/24 7/7 jours;42.96293,-0.06866;Pierrefitte-Nestalas;HAUTES-PYRENEES;OCCITANIE;;B2714
SDE76;Rue de Maupassant;2;22.0;COMBO;payant;24/24 7/7 jours;49.565649,0.25592;Manéglise;SEINE-MARITIME;NORMANDIE;;B2715
SDE76;Delamare Debouteville;2;22.0;COMBO;payant;24/24 7/7 jours;49.56454,1.164542;Fontaine-le-Bourg;SEINE-MARITIME;NORMANDIE;;B2716
SDE76;Rue Rene Delahaye;2;22.0;COMBO;payant;24/24 7/7 jours;49.586728,1.357482;Buchy;MOSELLE;GRAND EST;;B2717
SDE76;Route du Tréport;2;22.0;COMBO;payant;24/24 7/7 jours;49.830497,1.403283;Londinières;SEINE-MARITIME;NORMANDIE;;B2718
